# HfB2n24.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     1      24      -49990.2      -49989.9      0.0130508      5.72211e-07      9.35014e-05      5.25638e-06      
     2      24      -49971.5      -49971      0.0200122      4.76646      4.84057      0.0231087      
     3      24      -49993.6      -49993.6      0.000335424      7.41382      7.43881      0.0238755      
     4      24      -49992.4      -49992.4      0.000169427      10.2471      10.2734      0.0263346      
     5      24      -49993.1      -49993.1      0.000445745      8.72201      8.83108      0.0257639      
     6      24      -49971.2      -49971.2      0.000284779      2.70266      3.44278      0.0850922      
     7      24      -49982.2      -49982.3      0.00390809      3.04243e-07      0.000349699      1.52152e-05      
     8      24      -49993      -49993      0.000113098      9.127      9.16215      0.0278064      
     9      24      -49993.4      -49993.4      0.000164211      8.34807      8.40163      0.0244459      
     10      24      -49970.3      -49971.9      0.068362      7.31433e-08      0.00291104      0.000210796      
     11      24      -49879.2      -49880.2      0.0417439      50.2031      51.33      0.145958      
     12      24      -49992.9      -49992.9      0.000681863      9.36505      9.28215      0.0309921      
     13      24      -49986.9      -49987.4      0.0200218      1.67849e-07      0.00101431      7.2027e-05      
     14      24      -49947      -49945.7      0.0564623      1.10078e-06      0.000388735      2.21102e-05      
     15      24      -49993.5      -49993.5      0.000360453      7.47794      7.41299      0.0235558      
     16      24      -49993.4      -49993.4      7.27959e-05      7.80877      7.87419      0.0256213      
     17      24      -49992.7      -49992.7      0.000151999      10.0683      10.0523      0.0321965      
     18      24      -49965      -49964.8      0.0104639      9.20073      8.97246      0.0294485      
     19      24      -49993.1      -49993.1      0.00055522      8.88195      8.98143      0.0270658      
     20      24      -49993.3      -49993.3      0.000483963      8.36052      8.43175      0.0270824      
     21      24      -49990      -49990      0.000414832      4.74434e-07      0.00102119      7.6475e-05      
     22      24      -49956.4      -49955.3      0.0467429      1.52003e-06      0.000722512      5.38621e-05      
     23      24      -49993.1      -49993.1      1.29176e-05      9.39403      9.38308      0.0261572      
     24      24      -49993.2      -49993.2      0.000739129      8.55074      8.64363      0.0355065      
     25      24      -49993.2      -49993.2      0.000102886      8.34637      8.3666      0.0318862      
     26      24      -49977.7      -49977.9      0.00841568      9.29144e-07      0.00205867      0.000165718      
     27      24      -49992.8      -49992.8      2.07627e-05      9.89679      9.90759      0.0307144      
     28      24      -49993.6      -49993.6      0.000329977      7.03892      7.10163      0.0220015      
     29      24      -49985.4      -49985.3      0.00587364      5.78951e-07      0.000912702      5.21053e-05      
     30      24      -49992.4      -49992.4      0.00128805      10.3996      10.5595      0.0344599      
     31      24      -49992.8      -49992.8      0.000127464      9.44774      9.46389      0.0265556      
     32      24      -49993.2      -49993.2      0.000404652      8.40217      8.31033      0.0252995      
     33      24      -49993.6      -49993.6      4.16394e-06      7.36939      7.34174      0.0226789      
     34      24      -49993.5      -49993.5      7.83968e-05      7.48258      7.4774      0.025447      
     35      24      -49993.4      -49993.4      0.000255721      8.28864      8.33051      0.0239488      
     36      24      -49987.1      -49987.1      0.000159608      5.97487e-07      0.00204506      0.000145065      
     37      24      -49993.2      -49993.1      0.000478859      8.57373      8.62449      0.0305014      
     38      24      -49965.4      -49964.6      0.0328787      1.38306e-06      0.000799791      6.1397e-05      
     39      24      -49993.6      -49993.6      7.5019e-05      7.51086      7.50811      0.0211425      
     40      24      -49993.4      -49993.5      0.000340346      7.88686      7.90041      0.0254903      
     41      24      -49993      -49993      0.000215153      9.09228      9.10153      0.0266421      
     42      24      -49986.8      -49987.2      0.0166716      7.45575e-07      0.00084241      6.19775e-05      
     43      24      -49993.2      -49993.2      8.49566e-05      8.49299      8.46627      0.0268904      
     44      24      -49993.1      -49993.1      0.000142104      8.49608      8.44707      0.0219794      
     45      24      -49993.1      -49993.1      5.8452e-05      8.56331      8.56278      0.0261136      
     46      24      -49993      -49993      0.000169945      9.41334      9.38851      0.0248239      
     47      24      -49990.4      -49990.5      0.00452282      0.898312      0.881165      0.00859992      
     48      24      -49993.1      -49993.1      0.000410101      8.80938      8.88553      0.0277774      
     49      24      -49993      -49993      0.000178737      9.41833      9.49179      0.0307852      
     50      24      -49993.1      -49993.1      0.000281154      8.49281      8.5421      0.0309238      
     51      24      -49993      -49993      0.000320835      9.15994      9.22953      0.0311724      
     52      24      -49993.1      -49993.1      0.00011146      8.90042      8.87522      0.0304136      
     53      24      -49992.9      -49992.9      0.000121641      9.34015      9.30815      0.0268458      
     54      24      -49992.6      -49992.6      0.000331334      10.0032      10.0609      0.0265113      
     55      24      -49992.8      -49992.8      0.000214161      10.2914      10.2624      0.0287727      
